ECRAN;ONGLET;DONNEE;LIBELLE;DOMAINE
HOR;Congés;IHIMAIN2;Nb jours maintien 2;HORC
JOU;Compteurs annuels;IJRNJFETRA;Nbre de fériés travaillés annuel;HJOU
PRO;Données générales;IPINPRISPE;Prime spécifique;PROF
JOU;Compteurs journaliers;IJQNABSPFI;Nombre de retards jour;HJOU
CFG;Paramètres généraux;IDIJOUROUV;Jours ouvrés / travaillés;PARD
PRO;Données générales;IPIVMINBAD;Nbre minimum de badgeages;PROF
JOU;Don/CET/Enfant malade;IJRCOVER;Jours de congés versés;HJOU
JOU;Délégation CSE;IJRASCSE;Solde annuel (H);HJOU
JOU;Plages;IJQSORTIE6;Sortie 6;HJOU
JOU;Options employé;IJIGBADGEA;Badgeant;SECH
JOU;Heures supplémentaires;IJRHSMPAYA;Cumul annuel HS/HC;HJOU
ACT;Données personnalisées;IMIGPRISPE;Participe au calcul de la prime spécif.;MOTI
JOU;Congés;IJRCCORELI;Pris reliquat CP;HJOU
EMP;Paramétrage individuel;IEICATEGOR;Catégorie;EMPL
JOU;RTT;IJRCRTTHEU;Pris RTT (H);HJOU
JOU;Heures supplémentaires;IJQHS1MAPA;HS 25%;HJOU
JOU;Compteurs journaliers;IJQCREDEBJ;Crédit/Débit du jour;HJOU
JOU;Congés;IJRCCOFRAC;Pris congé fractionnement;HJOU
CFG;Congés;IDINBRSAMD;Nombre de congés samedi à prendre;PARD
CFG;Définition des motifs;IDIMOTJF;Motif jour férié;PARD
HOR;Congés;IHIANC2;Ancienneté 2;HORC
ACT;Données personnalisées;IMIGCHEVAU;Contrôle chevauchement badgeages;MOTI
JOU;Heures supplémentaires;IJRRCNUIT;Solde du RC de nuit;HJOU
CFG;Seuils et dates de référence;IDISEUIRCN;Seuil acquisition RC de nuit;PARD
PRO;Données générales;IPISPRISPE;Seuil déclenchement prime spécifique;PROF
JOU;Prépaie;IJQNPRISPE;Prime spécifique;HJOU
ACT;HQ Calendar;IMIMOTIF;Motif affiché;MOTI
PRO;Données générales;IPIGPANIJR;Panier jour;PROF
JOU;Délégation CSE;IJRMDCSE4;Droit mensuel M-4 (H);HJOU
CFG;Paramètres généraux;IDITICKETS;Gestion tickets restaurant;PARD
HOR;Congés;IHIANC1;Ancienneté 1;HORC
CFG;Congés;IDIANC1;Ancienneté 1;PARD
SEH;Données personnalisées;IJIGHSUPPM;Régime HS / HC;SECH
PRO;Données générales;IPICODPLAN;Code sur planning;PROF
CFG;Seuils et dates de référence;IDIREFRCN;Date de référence RC de nuit (JJMM);PARD
CFG;Congés ancienneté;IDIDCANC2;Droit congé ancienneté 2 "régime 1";PARD
SEH;Données personnalisées;IJICDRPLAF;Report maximum;HJOU
JOU;RTT;IJRSNBJRTT;Solde RTT (J);HJOU
CFG;Seuils et dates de référence;IDISHSMTX2;Seuil HS taux 2;PARD
JOU;Options employé;IJICDPLANC;Crédit minimum;SECH
JOU;Don/CET/Enfant malade;IJRSCPCET;Solde CET au titre des congés payés;HJOU
JOU;Compteurs annuels;IJRSOLDCET;Solde CET;HJOU
JOU;Congés;IJRCCOPRIN;Pris CP;HJOU
JOU;Options employé;IJICDRPLAF;Report maximum;HJOU
EMP;Gestion de véhicules;IEIDATELOC;Date de fin de location;EMPL
JOU;Congés;IJRFRRCPP1;Date de perte;HJOU
JOU;Compteurs annuels;IJRTTEPMOD;Heures effectives annuelles;HJOU
HOR;Données générales;IHISPRIST;Seuil déclenchement prime de poste;HORC
CFG;Congés ancienneté;IDISANNC4;Seuil ancienneté 4 "régime 2";PARD
HOR;Congés;IHIANC3;Ancienneté 3;HORC
JOU;Heures supplémentaires;IJRHRECANN;Cumul annuel HS/HC à récupérer;HJOU
SEH;Données personnalisées;IJIGHSUPPR;Modalité HS;SECH
CFG;Seuils et dates de référence;IDIECHVISI;Echéance visite médicale;PARD
CFG;Congés ancienneté;IDIDCANC3;Droit congé ancienneté 3 "régime 1";PARD
SEH;Données personnalisées;INSALA;Transfert paie;HJOU
EMP;Planification;IEIEMPRESS;Géré dans Ressources;EMPL
JOU;Options employé;IJIM1PRENB;Motif de crédit ou débit;HJOU
JOU;Délégation CSE;IJRMDCSE11;Droit mensuel M-11 (H);HJOU
