TYPE;ELEMENT;CODE;LIBCODE
 ;ZONE;Z1;Changement étage
 ;ZONE;Z2;Etage 1
H;COACTBAD;ACTB;Activité badgée
H;CODEDUC;0;Déduction coupure mini
H;CODEDUC;1;Déduction coupure maxi
H;COMISLBA;MISL;MISL
H;COMISSBA;MISS;MISS
H;CONEUTRA;0;Total des pauses en plage DJ
H;CONEUTRA;1;Plus grande pause en plage DJ
H;COPAUST;0;0
H;COPAUST;1;1
H;DITYPE;1;Carte d'identité
H;DITYPE;2;Passeport
H;DITYPE;3;Carte de séjour
H;DITYPE;4;Permis de conduire
H;DPDIPLOME;1;CAP
H;DPDIPLOME;2;BEP
H;DPDIPLOME;3;BAC
H;DPDIPLOME;4;BTS
H;DPDIPLOME;5;Licence
H;DPDIPLOME;6;Master
H;DPDIPLOME;7;DEA
H;E1RAISONCL;1;Retraite
H;E1RAISONCL;2;Démission
H;E1RAISONCL;3;Licenciement
H;E1SOCINTE;1;Adecco
H;E1SOCINTE;2;Manpower
H;E1SOCINTE;3;Randstad
H;E2NATION;BE;Belge
H;E2NATION;ES;Espagnole
H;E2NATION;FR;Française
H;E2NATION;IT;Italienne
H;E2NATION;NL;Néerlandaise
H;E2NATION;UK;Britannique
H;E2NIVETUDE;1;Niveau V (CAP, BEP, ...)
H;E2NIVETUDE;2;Niveau IV (Bac, ...)
H;E2NIVETUDE;3;Niveau III (Bac+2)
H;E2NIVETUDE;4;Niveau I et II (Bac+3 et +)
H;E2PAYSNAI;BE;Belgique
H;E2PAYSNAI;ES;Espagne
H;E2PAYSNAI;FR;France
H;E2PAYSNAI;GE;Allemagne
H;E2PAYSNAI;IT;Italie
H;E2PAYSNAI;NL;Pays-Bas
H;E2PAYSNAI;UK;Royaume-Uni
H;E2SITUMARI;1;Célibataire
H;E2SITUMARI;2;Marié(e)
H;E2SITUMARI;3;Divorcé(e)
H;E2SITUMARI;4;Veuf(ve)
H;E2SITUMARI;5;Pacsé(e)
H;EITYPE;1;Entretien Individuel Annuel
H;EITYPE;2;Entretien professionel
H;EQEQUIP;1;Pantalon
H;EQEQUIP;2;Veste
H;EQEQUIP;3;Gants
H;EQEQUIP;4;Casque
H;EQTAILLE;1;S
H;EQTAILLE;2;M
H;EQTAILLE;3;L
H;EQTAILLE;4;XL
H;EQTAILLE;5;40
H;EQTAILLE;6;42
H;EQTAILLE;7;44
H;EQTAILLE;8;46
H;EQTAILLE;9;48
H;EQTAILLE;10;50
H;EQTAILLE;11;52
H;EQTAILLE;12;54
H;IDIEFFECTI;0;Plus de 20 salariés
H;IDIEFFECTI;1;Jusqu'à 20 salariés
H;IDIGDPAUSM;0;Déduction coupure minimum
H;IDIGDPAUSM;1;Déduction coupure maximum
H;IDIGNPAUSM;0;Total des pauses en plage DJ
