NOM;LIBELLE;TYPE;FORMAT;LGT;DECI;MINI;MAXI;DEFAUT;FILTRE;CONTROLE;REPORT;TRAIT;LGLIBELLE;TITRE01;TITRE02;TITRE03;TITRE04;DATCRE;UTILCRE;DATMOD;UTILMOD;MODIF;SITE;DUPLICAT;DESCRIPT;RGPD
"INITIALE";"Initiales de l'employé";"U";"X";4;0;" ";" ";" ";256;" ";" ";"*0";0;"Initiales";" ";" ";" ";12/07/2013;"*DIC";13/10/2025;"*DIC";"0";" ";"0";" ";"0"
"ANALYT";"Suivi en analytique";"A";"X";1;0;" ";" ";" ";256;" ";" ";"*0";0;"Suivi analytique";" ";" ";" ";14/02/2013;"*DIC";13/10/2025;"*DIC";"0";" ";"1";" ";"0"
"CLE_POP";"Population";"A";"X";40;0;" ";" ";" ";256;" ";" ";"*3";0;" ";" ";" ";" ";30/06/2010;"*AS";13/10/2025;"*DIC";"0";" ";"1";" ";"0"
"AREMPL";"A remplacer";"Z";"X";1;0;"0";"9";"5";256;" ";" ";"*0";0;"A remplacer";" ";" ";" ";25/06/1991;"*DIC";13/10/2025;"*DIC";"0";" ";"1";" ";"0"
"ATTRIB";"Code attribution";"A";"X";10;0;" ";" ";" ";256;" ";" ";"*0";0;"Code attribution";" ";" ";" ";25/06/1991;"*DIC";13/10/2025;"*DIC";"0";" ";"1";" ";"0"
"BASECONT";"Base du contrat";"T";"I";6;2;" ";" ";" ";256;" ";" ";"*0";0;"Base du contrat";" ";" ";" ";29/12/2006;"*DIC";13/10/2025;"*DIC";"0";" ";"1";" ";"0"
"BASEDROG";"Base dérogée contrat";"T";"I";6;2;" ";" ";" ";256;" ";" ";"*0";0;"Base dérogée contrat";" ";" ";" ";29/12/2006;"*DIC";13/10/2025;"*DIC";"0";" ";"1";" ";"0"
"BASEMAXI";"Base maxi contrat";"T";"I";6;2;" ";" ";" ";256;" ";" ";"*0";0;"Base maxi contrat";" ";" ";" ";29/12/2006;"*DIC";13/10/2025;"*DIC";"0";" ";"1";" ";"0"
"BASEMINI";"Base mini contrat";"T";"I";6;2;" ";" ";" ";256;" ";" ";"*0";0;"Base mini contrat";" ";" ";" ";29/12/2006;"*DIC";13/10/2025;"*DIC";"0";" ";"1";" ";"0"
"BESOIN";"Code besoin";"A";"X";10;0;" ";" ";" ";256;" ";" ";"*0";0;"Code besoin";" ";" ";" ";08/03/2013;"*DIC";13/10/2025;"*DIC";"0";" ";"1";" ";"0"
"CALEND";"Code calendrier";"A";"X";10;0;" ";" ";" ";256;" ";" ";"*0";0;" ";" ";" ";" ";29/09/2003;"*DIC";13/10/2025;"*DIC";"0";" ";"1";" ";"0"
"CALENDSUI";"Code calendrier sur J+1";"A";"X";10;0;" ";" ";" ";256;" ";" ";"*0";0;" ";" ";" ";" ";12/02/2009;"*DIC";13/10/2025;"*DIC";"0";" ";"1";" ";"0"
"LIBCOURT";"Libellé court";"U";"X";20;0;" ";" ";" ";256;" ";" ";"*0";0;" ";" ";" ";" ";01/01/1900;" ";13/10/2025;"*DIC";"0";" ";"1";" ";"0"
"CALPL";"Calendrier de planification";"A";"X";10;0;" ";" ";" ";256;" ";" ";"*0";0;"Calendrier de planific";" ";" ";" ";24/09/1996;"*DIC";13/10/2025;"*DIC";"0";" ";"1";" ";"0"
"CATALOGUE";"Appartenance au catalogue";"A";"X";1;0;" ";" ";" ";256;" ";" ";"*0";0;"Catalogue";" ";" ";" ";08/03/2013;"*DIC";13/10/2025;"*DIC";"0";" ";"1";" ";"0"
"CHMAXI";"Charge maxi du poste";"N";"L";9;0;" ";" ";" ";256;" ";" ";"*0";0;"Charge maxi";" ";" ";" ";29/12/2006;"*DIC";13/10/2025;"*DIC";"0";" ";"1";" ";"0"
"CHMINI";"Charge mini du poste";"N";"L";9;0;" ";" ";" ";256;" ";" ";"*0";0;"Charge mini";" ";" ";" ";29/12/2006;"*DIC";13/10/2025;"*DIC";"0";" ";"1";" ";"0"
"CLE_POPAFF";"Population d'affectation";"A";"X";40;0;" ";" ";" ";256;" ";" ";"*3";0;" ";" ";" ";" ";30/06/2010;"*AS";13/10/2025;"*DIC";"0";" ";"1";" ";"0"
"CNAUTEUR";"Auteur de la demande";"A";"X";10;0;" ";" ";" ";256;" ";" ";"*0";0;" ";" ";" ";" ";06/01/2014;"*DIC";13/10/2025;"*DIC";"0";" ";"1";" ";"0"
"CNDATDEB";"Date de début de la demande";"D";"X";10;0;" ";" ";" ";256;" ";" ";"*0";0;" ";" ";" ";" ";06/01/2014;"*DIC";13/10/2025;"*DIC";"0";" ";"1";" ";"0"
"CNDATFIN";"Date de fin de la demande";"D";"X";10;0;" ";" ";" ";256;" ";" ";"*0";0;" ";" ";" ";" ";06/01/2014;"*DIC";13/10/2025;"*DIC";"0";" ";"1";" ";"0"
"CNFONCT";"Code fonction de la demande";"A";"X";4;0;" ";" ";" ";256;" ";" ";"*0";0;" ";" ";" ";" ";06/01/2014;"*DIC";13/10/2025;"*DIC";"0";" ";"1";" ";"0"
"CNMESS";"Numero message contraintes";"N";"I";2;0;" ";" ";" ";256;" ";" ";"*3";0;" ";" ";" ";" ";24/11/2004;"*DIC";13/10/2025;"*DIC";"0";" ";"1";" ";"0"
"CNMOTIF";"Motif de la demande";"A";"X";10;0;" ";" ";" ";256;" ";" ";"*0";0;" ";" ";" ";" ";06/01/2014;"*DIC";13/10/2025;"*DIC";"0";" ";"1";" ";"0"
