LANGUE;MODULE;FONCT;NUMERO;GRAVITES;GRAVITEP;LIBS;LIBP
"F";"HR";"ANO";"0180";"8";"8";"Minimum légal temps partiel non respecté";"Minimum légal temps partiel non respecté"
"F";"HR";"ANO";"0181";"8";"8";"Départ et retour mission supérieurs à la fin de la plage mission autorisée";"Départ et retour mission supérieurs à la fin de la plage mission autorisée"
"F";"HR";"ANO";"0195";"5";"5";"Repos quotidien inférieur à 9h";"Repos quotidien inférieur à 9h"
"F";"HR";"ANO";"0237";" ";" ";" ";" "
"F";"HR";"ANO";"0238";" ";" ";" ";" "
"F";"HR";"ANO";"0239";" ";" ";" ";" "
"F";"HR";"ANO";"0185";"9";"9";"Solde congés ancienneté insuffisant pour transfert en CET";"Solde congés ancienneté insuffisant pour transfert en CET"
"F";"HR";"ANO";"0186";"9";"9";"Solde congés fractionnement insuffisant pour transfert en CET";"Solde congés fractionnement insuffisant pour transfert en CET"
"F";"HR";"ANO";"0055";"5";" ";"(+-)";"XXXXXXXXXX"
"F";"HR";"ANO";"0108";"5";"5";"Débit de la période inférieur au seuil minimum";"Débit de la période inférieur au seuil minimum"
"F";"HR";"ANO";"0060";" ";" ";"XXXXXXXXXX Compteur de temps imputé (HJOU)";"IJQHANAIMP"
"F";"HR";"ANO";"0000";" ";" ";"Anomalies du calcul";" "
"F";"HR";"ANO";"0001";"5";" ";"Badgeage en entrée à une heure de présence interdite";" "
"F";"HR";"ANO";"0002";"5";" ";"Badgeage en sortie à une heure de présence interdite";" "
"F";"HR";"ANO";"0003";"5";" ";"Badgeage en entrée à une heure de présence obligatoire";" "
"F";"HR";"ANO";"0004";"5";" ";"Badgeage en sortie à une heure de présence obligatoire";" "
"F";"HR";"ANO";"0005";"5";" ";"Badgeage sur un lecteur interdit";" "
"F";"HR";"ANO";"0006";"5";" ";"Le badgeage validé est supérieur au badgeage réel suivant";" "
"F";"HR";"ANO";"0007";"5";" ";"Le badgeage validé est inférieur au badgeage réel précédent";" "
"F";"HR";"ANO";"0008";"5";" ";"Badgeage d'un employé inconnu";" "
"F";"HR";"ANO";"0009";"5";" ";"Badgeage dans la même minute";" "
"F";"HR";"ANO";"0010";"5";" ";"Badgeage d'accès refusé";" "
"F";"HR";"ANO";"0011";"5";" ";"Badgeage de présence sur lieu non autorisé";" "
"F";"HR";"ANO";"0012";"5";" ";"Le profil a été changé par l'attribution automatique";" "
"F";"HR";"ANO";"0013";"9";" ";"Un compteur est en débordement";" "
"F";"HR";"ANO";"0014";"9";" ";"Erreur de conversion décimale";" "
"F";"HR";"ANO";"0015";"8";" ";"Badgeages validés égaux";" "
"F";"HR";"ANO";"0016";" ";" ";"Badgeage sur plage interdite";" "
"F";"HR";"ANO";"0017";" ";" ";"Badgeage sur plage obligatoire";" "
"F";"HR";"ANO";"0018";" ";" ";"Employé absent demi-journée sans justificatif";" "
"F";"HR";"ANO";"0019";" ";" ";"Anomalies coupure déjeuner";" "
"F";"HR";"ANO";"0020";" ";" ";"Ecrétage journalier";" "
"F";"HR";"ANO";"0021";"9";" ";"Journée sans contrat administratif";" "
