REGLE;LIBELLE;ORDRE;ACTIVE;COMPIL;DATMOD;UTILMOD
"IBADGWBA";"Pointage lecteur WBA";"2060";"1";"1";18/09/2025;"HQS"
"ITPSACTHT8";"#HQA# TPS PRES (H total/pop<>sect/M/EMP)";"5510";"0";"0";18/09/2025;"HQS"
"ITPSACTHT9";"#HQA# TPS PRES (H total/popu=sect/S/SEH)";"5520";"0";"0";18/09/2025;"HQS"
"ITPSACTHTA";"#HQA# TPS PRES (H total/pop<>sect/S/SEH)";"5530";"0";"0";18/09/2025;"HQS"
"ITPSACTHTB";"#HQA# TPS PRES (H total/popu=sect/M/SEH)";"5540";"0";"0";18/09/2025;"HQS"
"ITPSACTHTC";"#HQA# TPS PRES (H total/pop<>sect/M/SEH)";"5550";"0";"0";18/09/2025;"HQS"
"ITHEOJ";"Horaire théorique journalier";"3200";"1";"1";18/09/2025;"HQS"
"ICONGSUP";"Congé supplémentaire SITE UNIQUE";"6360";"0";"0";18/09/2025;"HQS"
"IANALP";"Analyse des journées (pour pénibilité)";"2560";"0";"0";18/09/2025;"HQS"
"ITICKE";"Tickets restaurant";"7100";"1";"1";18/09/2025;"HQS"
"IACQCPAN1";"Acquis. CPAN SITE UNIQUE date réf. CP";"6210";"1";"1";18/09/2025;"HQS"
"IACQCPAN2";"Acquis. CPAN SITE UNIQUE date anniv anci";"6230";"0";"0";18/09/2025;"HQS"
"IACQCPAN2M";"Acquis. CPAN MULTI-SITES date anniv anci";"6250";"0";"0";18/09/2025;"HQS"
"ICONSCPSCH";"Conso CP avec chainage sans anc";"6290";"0";"0";18/09/2025;"HQS"
"ICONSCONG";"Conso CP sans chainage";"6300";"0";"0";18/09/2025;"HQS"
"IPIXID";"Données PIXID";"9000";"0";"0";18/09/2025;"HQS"
"IMISSL";"Mission départ la veille";"2110";"1";"1";18/09/2025;"HQS"
"ITPSACTPTB";"#HQA# TPS PRES (Théo/popu=sect/mois/SEH)";"5460";"0";"0";18/09/2025;"HQS"
"IABSI";"Présomption de démission";"7900";"1";"1";18/09/2025;"HQS"
"ICPJOU";"Calcul des compteurs journaliers";"4400";"1";"1";18/09/2025;"HQS"
"IDONABS";"Gestions des dons d'absence";"7210";"1";"1";18/09/2025;"HQS"
"IGESTFEIRE";"Gestion des jours fériés";"3000";"1";"1";18/09/2025;"HQS"
"IRAZCO";"RAZ compteurs en début de contrat";"3500";"1";"1";18/09/2025;"HQS"
"IXPRES";"Priorite de la consigne XPRES";"3710";"1";"1";18/09/2025;"HQS"
"ICTRBA";"Controle du badgeage";"4700";"1";"1";18/09/2025;"HQS"
"IFRANCP";"Franchise acquisition CP";"6190";"1";"1";18/09/2025;"HQS"
"ICONSCPCH";"Conso des CP avec chainage anc";"6280";"1";"1";18/09/2025;"HQS"
"IHSAME";"Calcul des heures de  samedi";"6420";"1";"1";18/09/2025;"HQS"
"IHSUPPDIM";"Hres sup. du lundi 0h au dimanche minuit";"6620";"1";"1";18/09/2025;"HQS"
"IGESRC";"Gestion de la COR";"6640";"1";"1";18/09/2025;"HQS"
"IGRTTJ";"Gestion RTT en jours";"6750";"1";"1";18/09/2025;"HQS"
"IRCNUIT";"Repos compensateur de nuit";"6810";"1";"1";18/09/2025;"HQS"
"IANNUFJ";"Gestion annualisation forfaits jours";"7000";"1";"1";18/09/2025;"HQS"
"IHCOMP";"Heures complémentaires";"6610";"1";"1";18/09/2025;"HQS"
"IHCOMPDIM";"H. comp. du lundi 0h au dimanche minuit";"6630";"1";"1";18/09/2025;"HQS"
"ITPSACTPT9";"#HQA# TPS PRES (Théo/popu=sect/sem./SEH)";"5440";"0";"0";18/09/2025;"HQS"
"IANNU";"Gestion de l'annualisation";"6900";"1";"1";18/09/2025;"HQS"
"IABSGA";"#HQA# Gestion absences (Abs. -> évènem.)";"8100";"0";"0";18/09/2025;"HQS"
"ICONGSUPM";"Congé supplémentaire MULTI-SITES";"6370";"0";"0";18/09/2025;"HQS"
"ITPSACTHT7";"#HQA# TPS PRES (H total/popu=sect/M/EMP)";"5500";"0";"0";18/09/2025;"HQS"
"IDELEGCSEA";"Délégations CSE Année civile";"5220";"0";"0";18/09/2025;"HQS"
"IDELEGCSE";"Délégations CSE de date à date sur 12 m";"5210";"0";"0";18/09/2025;"HQS"
"ITRPAMINE";"Vérif temps de pause travail des mineurs";"2600";"1";"1";18/09/2025;"HQS"
"IACPANMETA";"CCN métallurgie : acquis. CPAN";"6220";"0";"0";18/09/2025;"HQS"
"ICOUDE";"Coupure dejeuner";"3300";"1";"1";18/09/2025;"HQS"
"ICUMUL";"Cumul des compteurs hebdo et periodiques";"5300";"1";"1";18/09/2025;"HQS"
"IDEBOR";"Heures jour excedentaires modifiables";"3600";"1";"1";18/09/2025;"HQS"
"IECART";"Ecart hebdo / horaire de réference";"7610";"1";"1";18/09/2025;"HQS"
"IPRIOR";"Priorite des activites";"3700";"1";"1";18/09/2025;"HQS"
"ICREDB";"Gestion du credit/debit";"6100";"1";"1";18/09/2025;"HQS"
"IDURABS";"Durée des absences";"3800";"1";"1";18/09/2025;"HQS"
"ITRAVPAU";"Analyse des temps de travail et de pause";"2590";"1";"1";18/09/2025;"HQS"
"IPRESTHEO";"Présence théorique";"3900";"1";"1";18/09/2025;"HQS"
"IPOPUACTS";"#HQA# Gestion populations activité SEH";"4000";"0";"0";18/09/2025;"HQS"
"IACQCP";"Gestion acquisition des CP";"6200";"1";"1";18/09/2025;"HQS"
"IACQCPAN1M";"Acquis. CPAN MULTI-SITES date réf. CP";"6240";"0";"0";18/09/2025;"HQS"
"ICONSRCP";"Conso des CP reportés en cas de maladie";"6310";"1";"1";18/09/2025;"HQS"
"IREPQUORED";"Repos quotidien réduit CCN Métallurgie";"7640";"0";"0";18/09/2025;"HQS"
"IACTMI";"Mise en place des motifs missions";"4620";"1";"1";18/09/2025;"HQS"
"IGCSEGLISS";"Délégations CSE sur 12 mois glissants";"5230";"1";"1";18/09/2025;"HQS"
"IFERIE";"Calcul des heures travaillees feriees";"6430";"1";"1";18/09/2025;"HQS"
"IDIMAN";"Calcul des heures de dimanche";"6410";"1";"1";18/09/2025;"HQS"
"ITTRAVMINE";"Gestion temps de travail moins de 18 ans";"7630";"1";"1";18/09/2025;"HQS"
"IPRIME";"Calcul des primes";"6500";"1";"1";18/09/2025;"HQS"
"IHSUPP";"Heures supplémentaires";"6600";"1";"1";18/09/2025;"HQS"
"IGRTTH";"Gestion RTT en heures";"6700";"1";"1";18/09/2025;"HQS"
"IVALAC";"Gestion des jours de validite";"4100";"1";"1";18/09/2025;"HQS"
"ISUPAC";"Suppression d'un motif si badgeage";"4200";"1";"1";18/09/2025;"HQS"
"IPENIB";"Pénibilité";"7700";"0";"0";18/09/2025;"HQS"
"IHNUIT";"Calcul des heures de nuit";"6400";"1";"1";18/09/2025;"HQS"
"ICOPIE";"Copie des valeurs internes dans HJOU";"2050";"1";"1";18/09/2025;"HQS"
"IACTIV";"Analyse des activites du jour";"4300";"1";"1";18/09/2025;"HQS"
"IMISSJ";"Mission jour en cours et suivants";"2100";"1";"1";18/09/2025;"HQS"
"IACTBA";"Activité badgée";"2150";"1";"1";18/09/2025;"HQS"
"IVALPA";"Valorisation des pauses";"4500";"1";"1";18/09/2025;"HQS"
"IEXCED";"Heures jour excedentaires";"2300";"1";"1";18/09/2025;"HQS"
"ICHEVM";"Stockage mvts pour crtl chevauchement";"2350";"1";"1";18/09/2025;"HQS"
"IPAUSE5PC";"Pause 5%";"4510";"1";"1";18/09/2025;"HQS"
