ECRAN;ONGLET;DONNEE;LIBELLE;DOMAINE
JOU;Congés;SJRDGCONGE;Droit global des congés;HJOU
JOU;Options employé;SJIMATPAIE;Matricule paie ADP (interfacé);HJOU
JOU;Compteurs journaliers;SJQHTSOR2;Horaire sortie 2;HJOU
JOU;Prépaie;SJQP5222;MO : Prime remplacement rotative (5222);HJOU
JOU;Droits délégations;SJIDFCIJP;Fin de mandat délégation CCIJP;HJOU
JOU;RTT/Autres Récup;SJRDRDA;Droit RD en cours acquis.;HJOU
JOU;Compteurs annuels;IJRNJFETRA;Nbre de fériés travaillés annuel;HJOU
CFG;Paramètres généraux;IDIJOUROUV;Jours ouvrés / travaillés;PARD
JOU;Heures supplémentaires;IJQHS2MAPA;Heures sup 50% (7086);HJOU
JOU;Congés reportés;SJRDPREP2;Droit CP reporté période 2;HJOU
JOU;Droits délégations;IJIDATFDDS;Fin de mandat délégation DS;HJOU
HOR;Données générales;SHIAFF1;Affichage libre N°1;HORC
JOU;Prépaie;SJQP0413;MO : Supplément Post-it (0413);HJOU
CFG;Seuils et dates de référence;SDIHSTAUX1;HS industrie taux 1 (%);PARD
JOU;Options employé;IJIGBADGEA;Badgeant;SECH
EMP;Acquisition de droit au forfait;SEIDATFCN2;Date fin ACQ N-2;EMPL
CFG;Seuils et dates de référence;SDIRTCETES;ES : RTT maximum alimentant le CET/an;PARD
JOU;Heures supplémentaires;IJRHSMPAYA;Cumul annuel HS/HC;HJOU
EMP;Hiérarchie;SEIMATRH3;Matricule RH 3;EMPL
JOU;Options employé;SJIGRJF;Droit au RJF;HJOU
JOU;Horoquartz;SJRACQANCT;Acquisition de CP ancienneté au 01/01/N;HJOU
JOU;Prépaie;SJQHNUIOUV;Indus : Hrs nuit variable ouvrier (5110);HJOU
ACT;Données personnalisées;IMIMATRICS;Matricule à créditer CSE;MOTI
CFG;Seuils et dates de référence;IDIDDEBANN;Début période annualisation;PARD
JOU;Prépaie;SJQP6SERV;MO : Prime 6° services (5279);HJOU
CFG;Gestion forfaits jours;SDICFJRC;RC : Cible FJ annuel;PARD
CFG;Données globales;ITIVMREFCP;Date de référence congé payé (JJMM);CONF
JOU;Droits délégations;IJIDDELEDS;Droit mensuel délégation DS;HJOU
EMP;Acquisition de droit au forfait;SEIDATACQ1;Date ACQ N-1;EMPL
ACT;Données personnalisées;SMIAFF1;Affichage libre N°1;MOTI
CFG;Seuils et dates de référence;SDIHSTAUX3;HS industrie taux 3 (%);PARD
JOU;Congés;IJRDCOPRIN;Droit CP acquis (CP2);HJOU
JOU;Compteurs journaliers;SJRNTICKRE;Ticket restaurant mois;HJOU
JOU;Compteurs périodiques;IJRNJTRAVM;Nbre de jours travaillés mensuel;HJOU
JOU;Compteurs journaliers;IJQHPAYEES;Heures payées;HJOU
JOU;Compteurs journaliers;SJRNNDF;Nbres de NDF reporté mois suivant;HJOU
CFG;Gestion forfaits jours;SDIRTFJIR;IR : RTT annuel pour FJ;PARD
JOU;Interface paie ADP;SJRY603;Droit CP1 bascule - Y603;HJOU
EMP;Compteurs Prévisionnels;SEQSPDH;Solde prév. DH;EMPL
JOU;RTT/Autres Récup;IEQSPDISP1;Droit RTT annuel;EMPL
JOU;Compteurs journaliers;SJQHTENT5;Horaire entree 5;HJOU
JOU;Congés;IJRSCENFMA;Solde congé enfant malade;HJOU
JOU;Délégations;IJRMTCSE;Transfert CSE mensuel (H);HJOU
CFG;Définition des motifs;SDIVMCSUP;Congé supplémentaire;PARD
CFG;Gestion forfaits jours;SDICFJEC;EC : Cible FJ annuel;PARD
CFG;Congés payés;SDIDCPHE;HE : Droit CP par Défaut;PARD
JOU;Congés reportés;SJQORDRCP;Ordre de conso des CPR;HJOU
JOU;Délégations;IJRMDCSE2;Droit mensuel M-2 (H);HJOU
CFG;Congés payés;SDIDCPIRC;IR : Droit CP pour Cadre;PARD
CFG;Congés payés;SDIDCPPE;PE : Droit CP par Défaut;PARD
